,Video.publish.time,Clicks.per.end.screen.element.shown.(%),Comments.added,Shares,Dislikes,Likes,Average.percentage.viewed.(%),Average.view.duration,Views,Watch.time.(hours),Subscribers,Impressions,Impressions.click-through.rate.(%)
127,22/11/2019,5.76,704,1040,2513,10260,27.31,0.079722222,2108619,168299.8428,2999,10226989,14.83
128,27/09/2019,10.43,697,159,1015,6357,26.07,0.068055556,580990,39668.3942,1159,2639176,13.93
129,16/12/2019,6.49,696,618,1757,9466,30.62,0.080277778,1461583,117611.3043,1756,6903133,14.57
130,18/11/2019,5.41,690,553,1387,7795,31.08,0.093888889,1141248,107206.878,1194,5208275,14.03
131,03/12/2019,8.29,687,680,2072,10408,29.19,0.067777778,2227211,151510.8558,3134,10566625,14.13
132,14/10/2019,7.86,685,712,2437,11158,25.74,0.0675,2001062,135488.0766,3169,8721915,16.23
133,10/08/2020,4.34,685,63,270,2411,36.68,0.061944444,159975,9920.1142,37,784766,10.43
134,16/09/2019,4.65,681,1055,4426,15437,34.83,0.065277778,2720358,177927.4526,6983,14875142,13.41
135,26/01/2020,7.59,678,215,726,4764,38.03,0.076388889,499924,38235.413,731,3094546,10.23
136,24/07/2020,12.4,675,70,272,3099,29.62,0.058888889,220454,12990.9881,183,1182067,9.67
137,24/07/2019,3.5,667,1175,3207,18780,29.87,0.061666667,3395303,209925.6938,8384,16291704,14.49
138,31/10/2019,6.97,667,516,1549,8831,32.13,0.061666667,1385694,85828.9029,1815,6115694,15.26
139,11/12/2019,13.55,638,516,1675,8829,31.27,0.075277778,1397592,105484.9319,1767,7814939,11.53
140,30/12/2019,5.96,637,422,1171,6015,27.46,0.071666667,1106460,79515.069,1003,4926279,15.27
142,02/10/2019,8.21,625,215,1053,6541,41.25,0.070555556,733442,51773.6813,1461,3753316,11.91
143,24/01/2020,9.14,623,129,621,4581,33.19,0.075555556,413340,31284.6346,590,2294266,10.91
144,19/12/2019,10.8,618,269,880,6004,34.45,0.076944444,881623,67842.7881,917,4541267,12.08
145,25/12/2019,6.83,616,480,1264,7034,35.78,0.121944444,1041552,127016.7769,1278,3385254,11.72
146,16/01/2020,7.43,615,563,1841,10061,33.64,0.116388889,1520799,177242.9351,2614,7815865,11.03
147,23/01/2020,10.6,582,283,793,4734,34.13,0.073055556,660550,48350.8357,697,3851703,11.63
148,11/09/2019,7.75,580,405,2400,8956,35.59,0.061111111,1449887,88721.1202,2766,6205975,16.04
149,13/04/2020,14.92,580,1710,3788,15806,32.82,0.063611111,3291618,210091.3555,6389,20795546,12.75
151,19/11/2019,9.32,570,463,1482,8397,31.55,0.093611111,1240718,116478.0242,1381,6092429,12.96
152,18/07/2020,10.71,562,41,211,2289,27.41,0.047222222,153363,7276.1631,17,796742,11.16
153,28/09/2019,7.1,561,247,1293,9035,31.48,0.071944444,792195,57143.4884,2106,3542163,13.76
154,12/10/2019,11.52,560,1323,3961,18095,29.07,0.093888889,3311453,311797.3426,5776,20143119,11.45
155,26/12/2019,15.75,560,777,1781,7771,33.69,0.087777778,1387007,122003.3177,2018,7432806,13.32
156,13/03/2020,8.68,551,248,853,6582,32.66,0.078055556,649982,50830.8621,913,3750348,10.67
158,09/12/2019,9.35,535,283,778,4625,35.2,0.08,873900,69983.4053,742,4552569,11.43
159,18/01/2020,8.48,514,344,1095,6331,37.63,0.07,929656,65114.8194,1267,5251278,11.17
160,18/10/2019,12.01,513,392,1331,7645,30.97,0.067222222,1143286,76922.5061,1483,5265354,14.31
161,01/04/2020,6.85,503,304,842,8000,32.26,0.059444444,781483,46572.8778,1286,4493430,11.16
162,20/12/2019,12.01,499,419,1252,6234,32.52,0.06,1221581,73386.334,873,5529551,15.28
163,07/12/2019,9.7,483,1319,2833,12226,29.15,0.073888889,2421161,179400.1569,3640,12368704,14.17
164,18/06/2020,14.77,479,259,736,3695,30.62,0.068611111,503399,34639.1081,516,2526093,13.4
165,16/05/2020,4.78,472,131,664,6365,25.94,0.048888889,417435,20456.9272,632,2069571,11.97
166,09/10/2019,10.29,468,356,1174,5275,31.32,0.068333333,901064,61772.5337,1262,3857987,15.37
167,09/01/2020,4.42,462,467,1264,7008,33.78,0.116388889,1041697,121301.4405,1036,5043870,12.13
168,02/05/2020,10.68,442,178,544,4471,31,0.080555556,390581,31488.3051,247,1893017,12.02
169,21/10/2019,9.32,438,379,1516,7352,31.97,0.066111111,1205625,79875.321,1948,5998538,12.58
170,31/01/2020,4.26,430,73,271,2058,25.01,0.076944444,199594,15404.4985,206,1297222,9.14
171,05/12/2019,6.48,411,189,712,4397,36.41,0.069166667,546661,37924.5206,619,2876359,12.05
